Arm,Study,Journal_Year,Disease,Compartment,Modality,Patients,Cells_or_samples,Repository,Accession,Access,Link,Availability_comment
MF skin - scRNA (re-analysis arm),Liu et al. 2022,Nat Commun 2022,"MF (11 CD4-MF, 2 CD8-MF) + 2 pcALCL",Skin,"scRNA (10x 5'+3') + scTCR + Smart-Seq2 + bulk WES",15,"19 lesions; 60,324 cells; 13 paired WES",NGDC GSA-Human (Peking),See paper data-availability,Open (verify in paper),https://www.nature.com/articles/s41467-022-28799-3#data-availability,"Raw scRNA+scTCR+paired WES deposited (Chinese NGDC/GSA). Largest standalone MF-skin scRNA outside the atlas; likely one of the 3 datasets integrated into Li 2024, so expect patient overlap. Confirm exact GSA/HRA code in the Nature data-availability statement."
MF skin - scRNA (re-analysis arm),Srinivas et al. 2024,Front Oncol 2024,MF,Skin,scRNA (10x 5') + scTCR,"7 sequenced (12 enrolled)","18,630 T cells (13,592 malignant)",EGA (Becker/DKFZ group),See paper data-availability,Controlled (likely EGA) - verify,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11337020/,"Becker/Essen-Copenhagen group typically deposits raw scRNA under controlled-access EGA. Check data-availability; may require a data-access agreement rather than open download."
MF skin - scRNA (re-analysis arm),Chennareddy et al. 2025,Br J Dermatol 2025,"CD4+ MF, TCR-gd+ MF, CD8+ Berti (+4 HC)",Skin,scRNA (10x 5') + scTCR,18 CTCL (+4 HC),"18 biopsies; raw + processed",GEO,GSE266862,Open,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE266862,"CONFIRMED open: raw + processed 10x matrices. Only CD4+ MF arm directly comparable; gd-MF and Berti are TRM-like cytotoxic and need separate handling. Shares HCs with earlier Brunner-lab deposits - do not double-count."
MF skin - scRNA (re-analysis arm),Zhao et al. 2025,Front Immunol 2025,MF,Skin,scRNA (10x) - CAF focus,Small MF cohort,Not stated in abstract,GSA/GEO (Hangzhou group),See paper data-availability,Verify in paper,https://pubmed.ncbi.nlm.nih.gov/39963655/,"CAF-malignant crosstalk (SOX4). Chinese group; deposit likely GSA or GEO - confirm exact accession and whether raw counts or processed only."
MF skin - scRNA (context),"Geskin-lab CAF preprint 2025 (Johns Hopkins / Johnson-Timp-Hicks)",medRxiv 2025,MF (early+late) + 1 HC,Skin,scRNA (10x),4 MF + 1 HC,"28,902 cells",medRxiv (preprint),Deposit pending,Preprint - check,https://www.medrxiv.org,"NOTE: project methods doc mis-attributes this to Geskin/Fuschiotti; it is the Johns Hopkins (Johnson/Timp/Hicks) CAF pilot. Pilot scale, racial-diversity emphasis. GEO accession may not post until peer review."
MF skin - scRNA (foundational),Gaydosik et al. 2019,Clin Cancer Res 2019,Advanced CTCL (8 MF + 2 SS) + 4 HC,Skin,scRNA (10x 3'; no TCR),5 CTCL + 4 HC,"14,056 CD3+ cells",GEO,GSE128531,Open,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE128531,"CONFIRMED open. CD3+ enriched only. Malignant cells called by patient-private clustering (no TCR/CNV) - weakest malignant-labeling method in the corpus; treat labels with caution."
MF multi-compartment scRNA,Rindler et al. 2021 (Front Immunol),Front Immunol 2021,MF (stage IVB),Skin + Blood + LN,scRNA (10x 5') + scTCR,1,"9,028 cells",GEO,GSE165623,Open,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE165623,"CONFIRMED open. Single-patient TRM<->TCM plasticity across 3 compartments. FACS-sorted fractions; good for compartment-comparison logic but n=1."
MF skin - scRNA (foundational),Rindler et al. 2021 (Mol Cancer),Mol Cancer 2021,"MF (incl. 1 gd-MF) + early MF + HC",Skin,scRNA (10x 5' v1.1) + scTCR,7 advanced + 3 early,"~47,172 + 22,051 cells",GEO,GSE173205,Open,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE173205,"CONFIRMED open (disambiguated: GSE173205 is THIS paper, not Liu 2022). Patch vs plaque/tumor progression; explicit >30% dead-cell QC. Strong fit for a stage-stratified MF-skin arm."
MF/SS skin+blood multimodal,Herrera et al. 2021,Blood 2021,Leukemic MF / SS,Skin + Blood,"ECCITE-seq (RNA + 49-ADT + TCRab + TCRgd + HTO)",5 skin+blood + 2 blood-only,"Per ECCITE-seq",GEO,GSE171811,Open,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE171811,"CONFIRMED open. First CTCL multimodal (5-modality). Surface-protein ADTs let you anchor CD7/CD26 loss, CCR4, KIR3DL2 at protein level - useful CITE-seq bridge to Childs 2026."
Atlas (MF skin integrated),"Li, Strobl, Poyner et al. (Haniffa) 2024",Nat Immunol 2024,MF (early + advanced),Skin (epidermis/dermis split),"scRNA (10x 5'+VDJ fresh) + 10x Flex FFPE + Visium + RareCyte IF",45 integrated (18 new + 3 public datasets),"~420,000 cells; 23 Visium sections",EMBL-EBI ArrayExpress,"E-MTAB-14559; E-MTAB-12303; E-MTAB-13614",Open,https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-14559,"CONFIRMED open, no restrictions. Reference atlas; also browsable at collections.cellatlas.io/ctcl. This is your local object. The three accessions cover the fresh, FFPE-Flex, and spatial libraries."
MF skin - spatial (GeoMx),Danielsen et al. 2024,Front Oncol 2024,MF (6 progressors / 9 indolent),Skin (FFPE diagnostic),GeoMx DSP-WTA (ROI-level),15,5 ROIs/sample (ROI counts),GEO / Supplement,See paper data-availability,Summary-level (ROI) - verify,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11491341/,"RUNX2 progression biomarker. DSP gives ROI/region-level counts (epidermis, basal, CD4 T-cell, Pautrier), NOT single-cell raw matrices - belongs to the platform-homogeneous DSP arm, not the scRNA mega-analysis."
MF skin - spatial (GeoMx),Choi/Park et al. 2025,Blood Adv 2025,"MF (patch/plaque/tumor; incl. stage I progressors)",Skin (FFPE),GeoMx DSP-WTA (ROI-level),27,"Lymphoma + immune ROIs (ROI counts)",GEO / Supplement,See paper data-availability,Summary-level (ROI) - verify,https://ashpublications.org/bloodadvances,"Largest spatial MF cohort; 46-gene progression signature. ROI-level DSP counts (CD3/CD4/CD30 morphology). Pair with Danielsen for the DSP arm; not poolable with scRNA."
MF skin - spatial (GeoMx),Folliculotropic vs classic MF 2025,J Invest Dermatol 2025,"MF (folliculotropic vs classic)",Skin (FFPE),GeoMx DSP-WTA (ROI-level),Matched FMF/CMF,Perifollicular vs dermal ROIs,Supplement,See paper data-availability,Summary-level (ROI) - verify,https://www.jidonline.org,"Perifollicular FMF malignant CD4 hyperinflammatory + M2 macrophages. ROI counts; FFPE."
